pattern,batch-size,algo,bs_position,precision,device_name,median,nruns,ecs
"[[1, 48, 192, 1]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,5560.5,256.0,
"[[1, 48, 192, 1]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5361.5,256.0,
"[[1, 48, 192, 1]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,10461.0,512.0,
"[[1, 48, 192, 1]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,8054.0,512.0,
"[[1, 48, 192, 2]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,10834.5,256.0,
"[[1, 48, 192, 2]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,9258.0,256.0,
"[[1, 48, 192, 2]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8375.0,128.0,
"[[1, 48, 192, 2]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,7262.0,128.0,
"[[1, 48, 192, 2]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,8792.0,128.0,
"[[1, 48, 192, 2]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,6162.0,128.0,
"[[1, 48, 192, 2]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,13990.5,256.0,
"[[1, 48, 192, 2]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,12299.0,256.0,
"[[1, 48, 192, 3]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,8940.0,128.0,
"[[1, 48, 192, 3]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,6835.0,128.0,
"[[1, 48, 192, 3]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,5824.0,64.0,
"[[1, 48, 192, 3]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,10503.5,128.0,
"[[1, 48, 192, 3]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6646.0,64.0,
"[[1, 48, 192, 3]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,10301.0,128.0,
"[[1, 48, 192, 3]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,14565.0,128.0,
"[[1, 48, 192, 3]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,14120.0,128.0,
"[[1, 48, 192, 4]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,11742.0,128.0,
"[[1, 48, 192, 4]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,9006.5,128.0,
"[[1, 48, 192, 4]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8598.5,64.0,
"[[1, 48, 192, 4]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,6988.5,64.0,
"[[1, 48, 192, 4]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,10187.0,64.0,
"[[1, 48, 192, 4]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7679.0,64.0,
"[[1, 48, 192, 4]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,11505.0,64.0,
"[[1, 48, 192, 4]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,10159.5,64.0,
"[[1, 48, 192, 6]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,9506.0,64.0,
"[[1, 48, 192, 6]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,13844.0,128.0,
"[[1, 48, 192, 6]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,6200.5,32.0,
"[[1, 48, 192, 6]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,10229.5,64.0,
"[[1, 48, 192, 6]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,8415.5,32.0,
"[[1, 48, 192, 6]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,5737.5,32.0,
"[[1, 48, 192, 6]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,12417.5,32.0,
"[[1, 48, 192, 6]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,11860.0,32.0,
"[[1, 48, 192, 8]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,13180.5,64.0,
"[[1, 48, 192, 8]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,8114.0,64.0,
"[[1, 48, 192, 8]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8510.5,32.0,
"[[1, 48, 192, 8]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,6722.5,32.0,
"[[1, 48, 192, 8]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6451.0,16.0,
"[[1, 48, 192, 8]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,7703.0,32.0,
"[[1, 48, 192, 8]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,9297.0,16.0,
"[[1, 48, 192, 8]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,9924.5,16.0,
"[[1, 48, 192, 12]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,10179.0,32.0,
"[[1, 48, 192, 12]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,6430.0,32.0,
"[[1, 48, 192, 12]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,13920.0,32.0,
"[[1, 48, 192, 12]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,9879.5,32.0,
"[[1, 48, 192, 12]]",25088,einsum,bs_first,fp32,Tesla_V100-PCIE-16GB,6287.0,8.0,
"[[1, 48, 192, 12]]",25088,einsum,bs_last,fp32,Tesla_V100-PCIE-16GB,6157.5,16.0,
"[[1, 48, 192, 12]]",25088,dense,bs_first,fp32,Tesla_V100-PCIE-16GB,11949.5,8.0,
"[[1, 48, 192, 12]]",25088,dense,bs_last,fp32,Tesla_V100-PCIE-16GB,10379.0,8.0,
"[[1, 48, 192, 16]]",25088,kernel,bs_first,fp32,Tesla_V100-PCIE-16GB,6844.0,16.0,
"[[1, 48, 192, 16]]",25088,kernel,bs_last,fp32,Tesla_V100-PCIE-16GB,7912.0,32.0,
"[[1, 48, 192, 16]]",25088,monarch,bs_first,fp32,Tesla_V100-PCIE-16GB,8998.5,16.0,
"[[1, 48, 192, 16]]",25088,monarch,bs_last,fp32,Tesla_V100-PCIE-16GB,6732.0,16.0,
